index,Date,Adj Close
426,2002-01-15,3.180000066757202
427,2002-01-16,3.0299999713897705
428,2002-01-17,3.0899999141693115
429,2002-01-18,2.9100000858306885
430,2002-01-22,2.8499999046325684
431,2002-01-23,2.900000095367432
432,2002-01-24,3.220000028610229
433,2002-01-25,3.299999952316284
434,2002-01-28,3.4100000858306885
435,2002-01-29,3.359999895095825
436,2002-01-30,3.1600000858306885
437,2002-01-31,3.0999999046325684
438,2002-02-01,2.930000066757202
439,2002-02-04,2.9800000190734863
440,2002-02-05,2.900000095367432
441,2002-02-06,2.380000114440918
442,2002-02-07,2.5199999809265137
443,2002-02-08,2.700000047683716
444,2002-02-11,2.900000095367432
445,2002-02-12,2.789999961853028
446,2002-02-13,2.799999952316284
447,2002-02-14,2.5799999237060547
448,2002-02-15,2.680000066757202
449,2002-02-19,2.5799999237060547
450,2002-02-20,2.7799999713897705
451,2002-02-21,2.789999961853028
452,2002-02-22,2.690000057220459
453,2002-02-25,2.759999990463257
454,2002-02-26,2.75
455,2002-02-27,2.789999961853028
456,2002-02-28,2.8499999046325684
457,2002-03-01,2.8299999237060547
458,2002-03-04,2.8299999237060547
459,2002-03-05,3.130000114440918
460,2002-03-06,3.3299999237060547
461,2002-03-07,3.25
462,2002-03-08,3.299999952316284
463,2002-03-11,3.3399999141693115
464,2002-03-12,3.140000104904175
465,2002-03-13,2.950000047683716
466,2002-03-14,3.1600000858306885
467,2002-03-15,3.2799999713897705
468,2002-03-18,3.380000114440918
469,2002-03-19,3.890000104904175
470,2002-03-20,3.7200000286102295
471,2002-03-21,3.670000076293945
472,2002-03-22,3.809999942779541
473,2002-03-25,3.7200000286102295
474,2002-03-26,3.700000047683716
475,2002-03-27,4.050000190734863
476,2002-03-28,4.199999809265137
477,2002-04-01,4.239999771118164
478,2002-04-02,4.429999828338623
479,2002-04-03,4.550000190734863
480,2002-04-04,4.960000038146973
481,2002-04-05,4.840000152587891
482,2002-04-08,4.599999904632568
483,2002-04-09,4.300000190734863
484,2002-04-10,4.699999809265137
485,2002-04-11,4.599999904632568
486,2002-04-12,4.880000114440918
487,2002-04-15,5.199999809265137
488,2002-04-16,5.949999809265137
489,2002-04-17,5.96999979019165
490,2002-04-18,5.789999961853027
491,2002-04-19,5.980000019073486
492,2002-04-22,5.789999961853027
493,2002-04-23,5.960000038146973
494,2002-04-24,5.989999771118164
495,2002-04-25,5.21999979019165
496,2002-04-26,5.210000038146973
497,2002-04-29,4.110000133514404
498,2002-04-30,3.640000104904175
499,2002-05-01,3.75
500,2002-05-02,4.139999866485596
501,2002-05-03,3.3499999046325684
502,2002-05-06,3.190000057220459
503,2002-05-07,3.380000114440918
504,2002-05-08,3.400000095367432
505,2002-05-09,3.039999961853028
506,2002-05-10,3.059999942779541
507,2002-05-13,3.220000028610229
508,2002-05-14,3.259999990463257
509,2002-05-15,3.240000009536743
510,2002-05-16,3.309999942779541
511,2002-05-17,3.390000104904175
512,2002-05-20,3.450000047683716
513,2002-05-21,3.25
514,2002-05-22,3.2300000190734863
515,2002-05-23,3.1600000858306885
516,2002-05-24,3.0299999713897705
517,2002-05-28,2.900000095367432
518,2002-05-29,2.8499999046325684
519,2002-05-30,2.869999885559082
520,2002-05-31,2.859999895095825
521,2002-06-03,2.8399999141693115
522,2002-06-04,2.9600000381469727
523,2002-06-05,2.900000095367432
524,2002-06-06,2.5799999237060547
525,2002-06-07,2.6700000762939453
526,2002-06-10,2.619999885559082
527,2002-06-11,2.5
528,2002-06-12,2.400000095367432
529,2002-06-13,2.369999885559082
530,2002-06-14,2.319999933242798
531,2002-06-17,2.400000095367432
532,2002-06-18,2.470000028610229
533,2002-06-19,2.400000095367432
534,2002-06-20,2.2699999809265137
535,2002-06-21,1.830000042915344
536,2002-06-24,1.600000023841858
537,2002-06-25,2.069999933242798
538,2002-06-26,2.299999952316284
539,2002-06-27,2.0
540,2002-06-28,2.059999942779541
541,2002-07-01,1.8799999952316284
542,2002-07-02,1.919999957084656
543,2002-07-03,1.9800000190734863
544,2002-07-05,2.1600000858306885
545,2002-07-08,2.2300000190734863
546,2002-07-09,2.309999942779541
547,2002-07-10,2.3399999141693115
548,2002-07-11,2.400000095367432
549,2002-07-12,2.369999885559082
550,2002-07-15,2.549999952316284
551,2002-07-16,2.619999885559082
552,2002-07-17,2.7100000381469727
553,2002-07-18,2.809999942779541
554,2002-07-19,2.220000028610229
555,2002-07-22,2.6700000762939453
556,2002-07-23,2.200000047683716
557,2002-07-24,2.150000095367432
558,2002-07-25,2.039999961853028
559,2002-07-26,2.0799999237060547
560,2002-07-29,1.870000004768372
561,2002-07-30,1.809999942779541
562,2002-07-31,1.6699999570846558
563,2002-08-01,1.830000042915344
564,2002-08-02,1.850000023841858
565,2002-08-05,1.7699999809265137
566,2002-08-06,1.9299999475479128
567,2002-08-07,2.059999942779541
568,2002-08-08,2.119999885559082
569,2002-08-09,2.049999952316284
570,2002-08-12,2.0
571,2002-08-13,1.919999957084656
572,2002-08-14,2.0
573,2002-08-15,1.9299999475479128
574,2002-08-16,2.0799999237060547
575,2002-08-19,2.25
576,2002-08-20,2.140000104904175
577,2002-08-21,2.25
578,2002-08-22,2.200000047683716
579,2002-08-23,2.0799999237060547
580,2002-08-26,2.1600000858306885
581,2002-08-27,1.940000057220459
582,2002-08-28,1.940000057220459
583,2002-08-29,1.9800000190734863
584,2002-08-30,1.9299999475479128
585,2002-09-03,1.850000023841858
586,2002-09-04,1.7999999523162842
587,2002-09-05,1.690000057220459
588,2002-09-06,1.690000057220459
589,2002-09-09,1.690000057220459
590,2002-09-10,1.7000000476837158
591,2002-09-11,1.649999976158142
592,2002-09-12,1.600000023841858
593,2002-09-13,1.6399999856948853
594,2002-09-16,1.600000023841858
595,2002-09-17,1.409999966621399
596,2002-09-18,1.340000033378601
597,2002-09-19,1.3200000524520874
598,2002-09-20,1.2599999904632568
599,2002-09-23,1.2599999904632568
600,2002-09-24,1.159999966621399
601,2002-09-25,1.2699999809265137
602,2002-09-26,1.3899999856948853
603,2002-09-27,1.2200000286102295
604,2002-09-30,1.25
605,2002-10-01,1.1299999952316284
606,2002-10-02,1.1399999856948853
607,2002-10-03,1.0700000524520874
608,2002-10-04,0.9100000262260436
609,2002-10-07,0.959999978542328
610,2002-10-08,1.0
611,2002-10-09,1.1200000047683716
612,2002-10-10,1.2599999904632568
613,2002-10-11,1.309999942779541
614,2002-10-14,1.090000033378601
615,2002-10-15,1.1100000143051147
616,2002-10-16,1.1200000047683716
617,2002-10-17,1.3300000429153442
618,2002-10-18,1.399999976158142
619,2002-10-21,1.3200000524520874
620,2002-10-22,1.309999942779541
621,2002-10-23,1.3300000429153442
622,2002-10-24,1.340000033378601
623,2002-10-25,1.309999942779541
624,2002-10-28,1.2999999523162842
625,2002-10-29,1.309999942779541
626,2002-10-30,1.2400000095367432
627,2002-10-31,1.2899999618530271
628,2002-11-01,1.4299999475479126
629,2002-11-04,1.4299999475479126
630,2002-11-05,1.5199999809265137
631,2002-11-06,1.5800000429153442
632,2002-11-07,1.5299999713897705
633,2002-11-08,1.590000033378601
634,2002-11-11,1.5
635,2002-11-12,1.590000033378601
636,2002-11-13,1.5399999618530271
637,2002-11-14,1.649999976158142
638,2002-11-15,1.6200000047683716
639,2002-11-18,1.75
640,2002-11-19,1.7999999523162842
641,2002-11-20,1.940000057220459
642,2002-11-21,2.0299999713897705
643,2002-11-22,2.400000095367432
644,2002-11-25,2.619999885559082
645,2002-11-26,2.4100000858306885
646,2002-11-27,2.309999942779541
647,2002-11-29,2.190000057220459
648,2002-12-02,2.450000047683716
649,2002-12-03,2.319999933242798
650,2002-12-04,2.140000104904175
651,2002-12-05,2.130000114440918
652,2002-12-06,2.0999999046325684
653,2002-12-09,2.009999990463257
654,2002-12-10,2.069999933242798
655,2002-12-11,2.009999990463257
656,2002-12-12,1.9800000190734863
657,2002-12-13,1.7999999523162842
658,2002-12-16,1.690000057220459
659,2002-12-17,1.6100000143051147
660,2002-12-18,1.4500000476837158
661,2002-12-19,1.600000023841858
662,2002-12-20,1.559999942779541
663,2002-12-23,1.5099999904632568
664,2002-12-24,1.5
665,2002-12-26,1.3799999952316284
666,2002-12-27,1.5499999523162842
667,2002-12-30,1.3799999952316284
668,2002-12-31,1.3700000047683716
669,2003-01-02,1.440000057220459
670,2003-01-03,1.5
671,2003-01-06,1.5700000524520874
672,2003-01-07,1.7200000286102295
673,2003-01-08,1.7200000286102295
674,2003-01-09,1.950000047683716
675,2003-01-10,1.840000033378601
676,2003-01-13,1.7400000095367432
677,2003-01-14,1.7200000286102295
678,2003-01-15,1.6799999475479126
679,2003-01-16,1.649999976158142
680,2003-01-17,1.4700000286102295
681,2003-01-21,1.2999999523162842
682,2003-01-22,1.3700000047683716
683,2003-01-23,1.3899999856948853
684,2003-01-24,1.340000033378601
685,2003-01-27,1.2100000381469729
686,2003-01-28,1.340000033378601
687,2003-01-29,1.350000023841858
688,2003-01-30,1.350000023841858
689,2003-01-31,1.2799999713897705
690,2003-02-03,1.2699999809265137
691,2003-02-04,1.2699999809265137
692,2003-02-05,1.25
693,2003-02-06,1.2300000190734863
694,2003-02-07,1.2699999809265137
695,2003-02-10,1.2200000286102295
696,2003-02-11,1.1699999570846558
697,2003-02-12,1.1799999475479126
698,2003-02-13,1.1399999856948853
699,2003-02-14,1.1799999475479126
700,2003-02-18,1.2899999618530271
701,2003-02-19,1.3799999952316284
702,2003-02-20,1.4299999475479126
703,2003-02-21,1.399999976158142
704,2003-02-24,1.3899999856948853
705,2003-02-25,1.3899999856948853
706,2003-02-26,1.4700000286102295
707,2003-02-27,1.4700000286102295
708,2003-02-28,1.409999966621399
709,2003-03-03,1.3799999952316284
710,2003-03-04,1.3899999856948853
711,2003-03-05,1.440000057220459
712,2003-03-06,1.3600000143051147
713,2003-03-07,1.3600000143051147
714,2003-03-10,1.2999999523162842
715,2003-03-11,1.2799999713897705
716,2003-03-12,1.2300000190734863
717,2003-03-13,1.2599999904632568
718,2003-03-14,1.2599999904632568
719,2003-03-17,1.309999942779541
720,2003-03-18,1.3899999856948853
721,2003-03-19,1.3600000143051147
722,2003-03-20,1.340000033378601
723,2003-03-21,1.4299999475479126
724,2003-03-24,1.4199999570846558
725,2003-03-25,1.4500000476837158
726,2003-03-26,1.3700000047683716
727,2003-03-27,1.399999976158142
728,2003-03-28,1.2799999713897705
729,2003-03-31,1.2699999809265137
730,2003-04-01,1.0399999618530271
731,2003-04-02,1.1799999475479126
732,2003-04-03,1.1799999475479126
733,2003-04-04,1.1699999570846558
734,2003-04-07,1.1699999570846558
735,2003-04-08,1.0800000429153442
736,2003-04-09,1.0299999713897705
737,2003-04-10,1.100000023841858
738,2003-04-11,1.100000023841858
739,2003-04-14,1.159999966621399
740,2003-04-15,1.149999976158142
741,2003-04-16,1.190000057220459
742,2003-04-17,1.25
743,2003-04-21,1.2999999523162842
744,2003-04-22,1.340000033378601
745,2003-04-23,1.350000023841858
746,2003-04-24,1.340000033378601
747,2003-04-25,1.340000033378601
748,2003-04-28,1.350000023841858
749,2003-04-29,1.350000023841858
750,2003-04-30,1.3600000143051147
751,2003-05-01,1.4600000381469729
752,2003-05-02,1.6799999475479126
753,2003-05-05,1.690000057220459
754,2003-05-06,1.6799999475479126
755,2003-05-07,1.659999966621399
756,2003-05-08,1.649999976158142
757,2003-05-09,1.7699999809265137
758,2003-05-12,1.850000023841858
759,2003-05-13,1.899999976158142
760,2003-05-14,1.899999976158142
761,2003-05-15,1.9299999475479128
762,2003-05-16,2.289999961853028
763,2003-05-19,2.240000009536743
764,2003-05-20,2.200000047683716
765,2003-05-21,2.150000095367432
766,2003-05-22,2.009999990463257
767,2003-05-23,2.0
768,2003-05-27,2.0799999237060547
769,2003-05-28,2.3499999046325684
770,2003-05-29,2.440000057220459
771,2003-05-30,2.7100000381469727
772,2003-06-02,2.700000047683716
773,2003-06-03,2.4200000762939453
774,2003-06-04,2.4800000190734863
775,2003-06-05,2.4100000858306885
776,2003-06-06,2.319999933242798
777,2003-06-09,2.299999952316284
778,2003-06-10,2.559999942779541
779,2003-06-11,2.390000104904175
780,2003-06-12,2.400000095367432
781,2003-06-13,2.319999933242798
782,2003-06-16,2.200000047683716
783,2003-06-17,2.200000047683716
784,2003-06-18,2.200000047683716
785,2003-06-19,2.380000114440918
786,2003-06-20,2.490000009536743
787,2003-06-23,2.289999961853028
788,2003-06-24,2.400000095367432
789,2003-06-25,2.5
790,2003-06-26,2.6600000858306885
791,2003-06-27,2.6700000762939453
792,2003-06-30,2.700000047683716
793,2003-07-01,2.609999895095825
794,2003-07-02,2.680000066757202
795,2003-07-03,2.690000057220459
796,2003-07-07,2.700000047683716
797,2003-07-08,2.690000057220459
798,2003-07-09,3.0
799,2003-07-10,2.9800000190734863
800,2003-07-11,3.0899999141693115
801,2003-07-14,3.140000104904175
802,2003-07-15,3.25
803,2003-07-16,3.4800000190734863
804,2003-07-17,3.450000047683716
805,2003-07-18,3.289999961853028
806,2003-07-21,3.190000057220459
807,2003-07-22,3.3399999141693115
808,2003-07-23,3.440000057220459
809,2003-07-24,3.4800000190734863
810,2003-07-25,3.509999990463257
811,2003-07-28,3.5799999237060547
812,2003-07-29,3.4600000381469727
813,2003-07-30,3.289999961853028
814,2003-07-31,2.9200000762939453
815,2003-08-01,2.8399999141693115
816,2003-08-04,3.059999942779541
817,2003-08-05,3.200000047683716
818,2003-08-06,3.1700000762939453
819,2003-08-07,3.3499999046325684
820,2003-08-08,3.400000095367432
821,2003-08-11,3.4600000381469727
822,2003-08-12,3.470000028610229
823,2003-08-13,3.440000057220459
824,2003-08-14,3.5999999046325684
